label,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,1372.0,803.8243440233236,940.7908163265306,781,922,827,964
2,1547.0,486.46024563671625,885.1266968325792,464,866,513,907
3,955.0,693.5780104712042,958.6973821989528,674,943,713,975
4,96.0,384.3333333333333,530.1458333333334,379,526,391,536
5,878.0,826.1640091116174,470.4100227790433,811,453,843,489
6,173.0,379.4566473988439,237.69942196531792,372,231,388,245
7,2019.0,226.24021792966815,404.2025755324418,202,378,250,433
8,1149.0,69.53872932985205,559.2567449956484,50,543,93,580
9,317.0,445.70347003154575,308.41324921135646,436,299,456,320
10,666.0,750.0345345345345,98.61861861861861,735,84,765,114
11,894.0,922.307606263982,41.73154362416108,906,26,941,59
12,1807.0,292.19424460431657,594.6480354178196,270,564,323,617
13,689.0,763.0769230769231,629.365747460087,748,614,779,644
14,1116.0,348.2939068100358,710.905017921147,332,691,368,732
15,1186.0,444.35497470489037,736.1349072512647,427,713,463,760
16,414.0,366.25845410628017,271.19806763285027,356,260,378,284
17,992.0,293.0715725806452,191.94758064516128,276,176,310,209
18,662.0,577.522658610272,835.7643504531723,563,824,597,850
19,896.0,412.6015625,775.6183035714286,396,757,431,795
20,550.0,646.42,517.6236363636364,633,505,661,530
21,1320.0,399.73939393939395,858.3727272727273,382,836,418,883
22,1299.0,483.2217090069284,972.662817551963,462,954,506,992
23,778.0,385.48329048843186,444.64395886889463,370,430,401,461
24,516.0,355.75581395348837,523.6996124031008,345,509,367,538
25,123.0,852.9430894308944,420.6910569105691,847,415,860,427
26,1483.0,262.6412677006069,55.85502360080917,240,35,288,77
27,888.0,333.76126126126127,544.5,316,530,353,562
28,1014.0,241.2061143984221,814.9329388560158,222,797,261,834
29,1190.0,178.54453781512606,387.009243697479,164,362,193,421
30,612.0,129.3643790849673,433.9166666666667,116,420,143,449
31,629.0,693.4117647058823,45.80445151033386,680,31,708,60
32,541.0,492.21441774491683,759.2624768946396,480,746,507,774
33,310.0,528.8548387096774,216.28064516129032,519,208,540,226
34,1375.0,832.5970909090909,962.7527272727273,806,944,858,981
35,1054.0,414.16698292220116,937.5455407969639,397,919,434,957
36,1022.0,959.7348336594912,43.37377690802348,943,25,977,63
37,717.0,515.8772663877266,173.9344490934449,501,159,532,190
38,116.0,711.948275862069,427.7844827586207,706,423,719,435
39,349.0,312.37535816618913,918.2063037249284,303,907,323,931
40,345.0,47.14492753623188,92.16811594202899,38,81,57,104
41,276.0,621.5,464.8949275362319,613,455,630,476
42,820.0,794.5780487804878,907.8926829268293,780,889,810,926
43,1418.0,225.45980253878702,343.5592383638928,199,327,251,364
44,652.0,345.2346625766871,622.5122699386503,328,609,364,635
45,478.0,404.26987447698747,83.1234309623431,389,73,421,94
46,97.0,765.4948453608248,465.9896907216495,760,461,772,472
47,312.0,433.93589743589746,322.7307692307692,425,313,446,333
48,1844.0,235.7190889370933,202.85520607375273,212,181,265,227
49,1565.0,585.0779552715655,741.7482428115015,565,717,607,768
50,986.0,705.0091277890466,923.5476673427992,686,908,724,940
51,304.0,96.67434210526316,465.56907894736844,88,456,107,477
52,646.0,266.5247678018576,919.3606811145511,251,906,283,932
53,842.0,427.86935866983373,373.6888361045131,409,359,446,389
54,1076.0,965.1719330855019,163.95446096654274,949,144,984,184
55,743.0,906.1884253028264,621.0242261103634,886,607,924,635
56,451.0,506.4611973392461,16.625277161862527,492,6,521,27
57,1564.0,944.2832480818414,740.6841432225063,918,724,972,760
58,1377.0,985.8881626724764,721.1510530137981,965,700,1007,743
59,744.0,259.0,437.7217741935484,244,425,277,454
60,1505.0,220.8936877076412,776.9940199335548,192,760,250,795
61,117.0,449.22222222222223,260.2991452991453,445,254,455,268
62,287.0,336.37282229965155,456.42508710801394,327,447,347,467
63,415.0,758.2626506024096,347.24819277108435,747,337,771,359
64,739.0,853.4519621109607,486.81055480378893,837,474,873,502
65,630.0,903.3793650793651,273.6746031746032,888,262,920,286
66,1653.0,232.865093768905,310.0193587416818,204,289,259,330
67,1097.0,960.7447584320876,99.80765724703737,938,84,984,115
68,1242.0,244.99436392914654,134.64653784219,231,103,260,162
69,444.0,165.25900900900902,355.88513513513516,157,338,178,377
70,369.0,712.0379403794038,407.5772357723577,699,397,725,418
71,735.0,762.9333333333333,915.4802721088436,747,902,780,930
72,104.0,284.99038461538464,286.86538461538464,280,280,292,294
73,1458.0,73.32098765432099,501.5692729766804,52,478,95,524
74,555.0,158.87567567567567,285.73333333333335,147,269,171,301
75,772.0,533.5479274611399,633.9961139896373,515,622,552,648
76,1273.0,497.8939512961508,920.7282010997643,476,901,520,941
77,762.0,630.1732283464567,832.8910761154856,612,820,653,848
78,984.0,350.0243902439024,889.8180894308944,333,872,368,908
79,843.0,165.37366548042704,460.45432977461445,149,445,181,478
80,509.0,332.6954813359529,833.0137524557957,320,821,347,845
81,387.0,407.19896640826875,464.82945736434107,397,453,418,478
82,155.0,419.68387096774194,680.7548387096774,413,674,427,688
83,113.0,576.2654867256637,666.9557522123894,570,661,583,674
84,1040.0,645.1144230769231,540.1326923076923,619,526,672,556
85,501.0,105.88223552894212,495.76447105788424,92,485,120,508
86,1080.0,315.4537037037037,778.3805555555556,295,763,338,796
87,100.0,577.08,488.13,570,484,584,494
88,526.0,776.8326996197719,94.1444866920152,764,83,791,107
89,782.0,226.28644501278774,627.920716112532,207,612,246,646
90,707.0,258.025459688826,98.83168316831683,241,81,271,118
91,374.0,190.94385026737967,838.9385026737968,180,829,204,850
92,1173.0,186.70332480818414,958.0605285592497,169,938,206,978
93,1046.0,884.368068833652,200.83652007648183,865,184,905,218
94,569.0,891.1388400702988,839.2337434094903,876,827,905,853
95,102.0,456.1862745098039,405.0686274509804,451,399,462,411
96,492.0,912.1056910569106,489.5873983739837,900,477,924,503
97,1151.0,279.75152041702864,543.2406602953953,257,526,303,562
98,598.0,959.4397993311037,280.7675585284281,944,271,981,295
99,1179.0,609.9092451229856,975.9397794741307,589,957,632,996
100,2236.0,248.06708407871199,246.80545617173524,217,218,276,273
101,1099.0,767.0263876251138,60.656960873521385,750,41,785,82
102,93.0,90.45161290322581,56.25806451612903,86,51,96,63
103,329.0,997.7386018237082,880.5258358662614,986,872,1010,890
104,929.0,333.4983853606028,739.0861141011841,318,716,353,757
