Prefix,Total_cells,Alexa_pos_count,Alexa_pos_percent,Cy3_pos_count,Cy3_pos_percent,Coexpress_count,Coexpress_percent,Sox2_channel,Sox2_pos_count,Sox2_pos_percent,DAPI_mean_median,DAPI_mean_mean,Alexa_mean_median,Alexa_mean_mean,Cy3_mean_median,Cy3_mean_mean,Sample
C:/projects/fiji-stardist-pipeline/outputs/growth/_examples/sox2 cy3_growth_AS124_1,150,65,43.333333333333336,135,90.0,56,37.333333333333336,Cy3,135,90.0,0.1768722012639045,0.179157712024947,0.1230066418647766,0.122586057682832,0.3817094266414642,0.414566187163194,sox2 cy3_growth_AS124_1
C:/projects/fiji-stardist-pipeline/outputs/growth/_examples/sox2 cy3_growth_AS124_2,63,55,87.3015873015873,48,76.19047619047619,40,63.49206349206349,Cy3,48,76.19047619047619,0.2093576192855835,0.2302263886446044,0.120233878493309,0.1178202761544121,0.4612047076225281,0.4911422038835192,sox2 cy3_growth_AS124_2
C:/projects/fiji-stardist-pipeline/outputs/growth/_examples/sox2 cy3_growth_AS125_1,277,238,85.92057761732852,241,87.00361010830325,221,79.78339350180505,Cy3,241,87.00361010830325,0.2257062941789627,0.2561647643062827,0.0949177667498588,0.0961572813132394,0.4050971269607544,0.4427347994991158,sox2 cy3_growth_AS125_1
C:/projects/fiji-stardist-pipeline/outputs/growth/_examples/sox2 cy3_growth_AS125_2,410,326,79.51219512195122,344,83.90243902439025,291,70.97560975609755,Cy3,344,83.90243902439025,0.1793127283453941,0.2074245350869804,0.0912846773862838,0.0929500914337795,0.3190950602293014,0.3950725354072524,sox2 cy3_growth_AS125_2
C:/projects/fiji-stardist-pipeline/outputs/growth/_examples/sox2 cy3_growth_AS137_1,149,112,75.16778523489933,104,69.79865771812081,80,53.69127516778524,Cy3,104,69.79865771812081,0.1741611957550048,0.1833790894160234,0.1074751317501068,0.1101058033238721,0.3505291640758514,0.3997988234830382,sox2 cy3_growth_AS137_1
C:/projects/fiji-stardist-pipeline/outputs/growth/_examples/sox2 cy3_growth_AS124_1,150,65,43.333333333333336,135,90.0,56,37.333333333333336,Cy3,135,90.0,0.1768722012639045,0.179157712024947,0.1230066418647766,0.122586057682832,0.3817094266414642,0.414566187163194,
C:/projects/fiji-stardist-pipeline/outputs/growth/_examples/sox2 cy3_growth_AS124_2,63,55,87.3015873015873,48,76.19047619047619,40,63.49206349206349,Cy3,48,76.19047619047619,0.2093576192855835,0.2302263886446044,0.120233878493309,0.1178202761544121,0.4612047076225281,0.4911422038835192,
C:/projects/fiji-stardist-pipeline/outputs/growth/_examples/sox2 cy3_growth_AS125_1,277,238,85.92057761732852,241,87.00361010830325,221,79.78339350180505,Cy3,241,87.00361010830325,0.2257062941789627,0.2561647643062827,0.0949177667498588,0.0961572813132394,0.4050971269607544,0.4427347994991158,
C:/projects/fiji-stardist-pipeline/outputs/growth/_examples/sox2 cy3_growth_AS125_2,410,326,79.51219512195122,344,83.90243902439025,291,70.97560975609755,Cy3,344,83.90243902439025,0.1793127283453941,0.2074245350869804,0.0912846773862838,0.0929500914337795,0.3190950602293014,0.3950725354072524,
C:/projects/fiji-stardist-pipeline/outputs/growth/_examples/sox2 cy3_growth_AS137_1,149,112,75.16778523489933,104,69.79865771812081,80,53.69127516778524,Cy3,104,69.79865771812081,0.1741611957550048,0.1833790894160234,0.1074751317501068,0.1101058033238721,0.3505291640758514,0.3997988234830382,
C:/projects/fiji-stardist-pipeline/outputs/growth/_examples/sox2 cy3_growth_AS124_1,150,65,43.333333333333336,135,90.0,56,37.333333333333336,Cy3,135,90.0,0.1768722012639045,0.179157712024947,0.1230066418647766,0.122586057682832,0.3817094266414642,0.414566187163194,
C:/projects/fiji-stardist-pipeline/outputs/growth/_examples/sox2 cy3_growth_AS124_2,63,55,87.3015873015873,48,76.19047619047619,40,63.49206349206349,Cy3,48,76.19047619047619,0.2093576192855835,0.2302263886446044,0.120233878493309,0.1178202761544121,0.4612047076225281,0.4911422038835192,
C:/projects/fiji-stardist-pipeline/outputs/growth/_examples/sox2 cy3_growth_AS125_1,277,238,85.92057761732852,241,87.00361010830325,221,79.78339350180505,Cy3,241,87.00361010830325,0.2257062941789627,0.2561647643062827,0.0949177667498588,0.0961572813132394,0.4050971269607544,0.4427347994991158,
C:/projects/fiji-stardist-pipeline/outputs/growth/_examples/sox2 cy3_growth_AS125_2,410,326,79.51219512195122,344,83.90243902439025,291,70.97560975609755,Cy3,344,83.90243902439025,0.1793127283453941,0.2074245350869804,0.0912846773862838,0.0929500914337795,0.3190950602293014,0.3950725354072524,
C:/projects/fiji-stardist-pipeline/outputs/growth/_examples/sox2 cy3_growth_AS137_1,149,112,75.16778523489933,104,69.79865771812081,80,53.69127516778524,Cy3,104,69.79865771812081,0.1741611957550048,0.1833790894160234,0.1074751317501068,0.1101058033238721,0.3505291640758514,0.3997988234830382,
