Cell,area_x,Y,X,area_y,perimeter,major_axis_length,minor_axis_length,eccentricity,solidity,extent,circularity,aspect_ratio,DAPI_mean,DAPI_median,DAPI_std,DAPI_p10,DAPI_p90,DAPI_sum,Alexa_mean,Alexa_median,Alexa_std,Alexa_p10,Alexa_p90,Alexa_sum,Cy3_mean,Cy3_median,Cy3_std,Cy3_p10,Cy3_p90,Cy3_sum,Alexa_pos,Cy3_pos,Cy3_organel_area_px,Cy3_puncta_count,Above_bg,Region
1,1191.0,408.6666666666667,277.98152812762385,1191.0,127.74011537017759,39.765345926215566,38.317516817758886,0.26738174348852217,0.9730392156862745,0.8036437246963563,0.917206275255103,1.03778504529254,0.11960375308990479,0.0,0.18008863925933838,0.0,0.45759427547454834,142.4480743408203,0.10775623470544815,0.0,0.15826763212680817,0.0,0.3410916328430176,128.33767700195312,0.42114031314849854,0.42042356729507446,0.11496758460998535,0.27599024772644043,0.5703884363174438,501.578125,True,True,0,21,True,Anterior
2,945.0,380.7566137566138,120.62116402116402,945.0,112.91168824543142,37.909908383196665,32.077173409304876,0.5329571949590907,0.9802904564315352,0.7981418918918919,0.9314592728921633,1.181834443436336,0.2317231297492981,0.2580430805683136,0.23823240399360657,0.0,0.5615668416023254,218.97836303710938,0.11019618064165115,0.0,0.1591818928718567,0.0,0.39225701689720155,104.13539123535156,0.4465497136116028,0.45260170102119446,0.10730583965778351,0.29721078276634216,0.5858887434005737,421.9894714355469,True,True,0,13,True,Anterior
3,1515.0,388.55115511551156,827.9280528052806,1515.0,146.46803743153546,48.68425780586114,39.794018326026944,0.576084914219492,0.9730250481695568,0.7729591836734694,0.8874354476351296,1.223406427744936,0.12608888745307922,0.0,0.17843158543109894,0.0,0.3609867870807648,191.024658203125,0.10263218730688095,0.0,0.15892618894577026,0.0,0.35842965245246894,155.48776245117188,0.4050971269607544,0.3987060487270355,0.07991477847099304,0.30816128849983215,0.5133724212646484,613.72216796875,True,True,0,25,True,Anterior
4,887.0,233.77790304396842,336.9199549041714,887.0,108.91168824543142,35.915507912323115,31.469222086220004,0.481944937317853,0.9757975797579758,0.7948028673835126,0.9396897802150047,1.141289982126698,0.2671092748641968,0.2846154570579529,0.22952452301979065,0.0,0.5841488122940064,236.92593383789062,0.11638767272233963,0.0,0.18154683709144592,0.0,0.3949704170227051,103.2358627319336,0.37656402587890625,0.3750259280204773,0.0743039920926094,0.2754845142364502,0.4768961310386658,334.0122985839844,True,True,0,20,True,Marginal
5,1343.0,262.0268056589725,535.6150409530901,1343.0,136.46803743153546,43.5838595456102,39.4383950920853,0.4256554252275297,0.9724837074583635,0.761769710720363,0.9061998476239254,1.1051124023643861,0.13801446557044983,0.0,0.20173995196819305,0.0,0.4275661766529083,185.35342407226562,0.09945476800203323,0.0,0.17367875576019287,0.0,0.41347647905349727,133.5677490234375,0.3697214424610138,0.3683122396469116,0.08436594903469086,0.25506961941719053,0.47727082371711704,496.535888671875,True,True,0,19,True,Marginal
6,774.0,271.95865633074936,579.8462532299742,774.0,101.74011537017762,33.481045872617486,29.52297846500605,0.47165747583833734,0.9760403530895334,0.7565982404692082,0.9396505518652711,1.1340673473139906,0.11390761286020279,0.0,0.1673664003610611,0.0,0.3964307099580765,88.16448974609375,0.13081400096416473,0.0,0.19411133229732513,0.0,0.4199319064617157,101.25003814697266,0.4574347734451294,0.4552684724330902,0.15293972194194794,0.2585629343986512,0.6729419946670533,354.05450439453125,True,True,0,12,True,Marginal
7,1008.0,433.51984126984127,841.968253968254,1008.0,121.39696961966999,44.23632673912015,29.191451588801602,0.751355432691932,0.9757986447241046,0.7466666666666667,0.8595174626608643,1.5153863316646456,0.15110476315021515,0.0,0.20903554558753967,0.0,0.39680470824241637,152.3135986328125,0.0717417448759079,0.0,0.13675165176391602,0.0,0.22595464736223225,72.31568145751953,0.3640427887439728,0.3691023588180542,0.08039705455303192,0.2524888008832932,0.4591741651296616,366.95513916015625,True,True,0,14,True,Anterior
8,1146.0,103.04450261780104,568.8778359511343,1146.0,125.39696961966999,39.60681326562663,37.11583010197334,0.34904166687839167,0.9728353140916808,0.7732793522267206,0.9158416685787985,1.0671137667353654,0.2907200753688812,0.2983742952346802,0.27895671129226685,0.0,0.6198651492595673,333.1651916503906,0.11298243701457977,0.09962833672761917,0.14105358719825745,0.0,0.3614557683467865,129.47787475585938,0.38294661045074463,0.3830999732017517,0.08952406793832779,0.26710841059684753,0.4981159120798111,438.8568115234375,True,True,0,23,True,Marginal
9,1369.0,173.87509130752375,777.8005843681519,1369.0,138.12489168102783,46.79734399139254,37.312031650625464,0.6035688495635532,0.9750712250712251,0.7420054200542006,0.9017152430157679,1.2542159169884834,0.29188835620880127,0.29879653453826904,0.2667519152164459,0.0,0.6308073282241822,399.59515380859375,0.07744336128234863,0.0,0.1402168869972229,0.0,0.25872603058815,106.01995849609375,0.41703417897224426,0.42087581753730774,0.10846032947301865,0.274293041229248,0.5428274273872375,570.9197998046875,True,True,0,22,True,Marginal
10,1521.0,85.1051939513478,772.5726495726495,1521.0,148.36753236814712,52.49364991911864,36.993772130542936,0.7094770718051875,0.9725063938618926,0.727403156384505,0.8682830654616236,1.4189861399881045,0.191846564412117,0.27120861411094666,0.1936727911233902,0.0,0.29795709252357483,291.7986145019531,0.1213327944278717,0.0,0.1682209074497223,0.0,0.35987862944602966,184.54718017578125,0.3881445527076721,0.3984178900718689,0.07961339503526688,0.2753284275531769,0.4833059012889862,590.3678588867188,True,True,0,23,True,Marginal
